"","words","term.freq","doc.freq"
"1","commerce",8,4
"2","canada.extract",1,1
"3","letter",122,83
"4","population",69,41
"5","canada",137,48
"6","reckoned",1,1
"7","souls",7,6
"8","whilst",15,13
"9","exports",12,7
"10","exceeded",5,3
"11","millions",33,20
"12","livres",2,2
"13","tournois",1,1
"14","imports",7,4
"15","greatly",25,18
"16","conjecture",1,1
"17","differences",3,3
"18","formed",32,28
"19","present",176,94
"20","canadas",7,6
"21","rated",3,3
"22","great",309,151
"23","augmentation",3,3
"24","found",102,64
"25","surpassed",2,2
"26","proportional",2,2
"27","ratio",5,5
"28","population.from",1,1
"29","varied",4,4
"30","chiefly",20,19
"31","wheat",31,19
"32","furs",5,4
"33","peltry",1,1
"34","years",158,84
"35","increased",18,15
"36","surprising",5,5
"37","sum",50,33
"38","sterling",26,19
"39","presently",3,2
"40","perceive",4,4
"41","estimate",10,10
"42","truth",14,10
"43","skims",1,1
"44","grain",21,16
"45","flour",19,11
"46","biscuit",3,3
"47","lumber",2,2
"48","descriptions",11,10
"49","pot",2,2
"50","pearl",1,1
"51","ashes",4,4
"52","beets",1,1
"53","pork",12,8
"54","sundries",1,1
"55","tedious",3,3
"56","particularise",1,1
"57","hulls",1,1
"58","masts",5,5
"59","yards",14,10
"60","vessels",82,43
"61","built",9,9
"62","province",54,31
"63","total",28,25
"64","domestic",13,11
"65","produce",60,42
"66","sundry",3,3
"67","goods",33,23
"68","imported",13,11
"69","exported",2,2
"70","commissions",6,6
"71","additional",22,16
"72","charges",9,5
"73","cent",25,13
"74","amounts",8,6
"75","dutiable",2,1
"76","articles",43,24
"77","quebec",60,35
"78","impossible",14,13
"79","ascertain",9,9
"80","safely",7,7
"81","conlude",1,1
"82","make",100,64
"83","importans",1,1
"84","million",9,7
"85","leaving",28,26
"86","balance",1,1
"87","favour",40,31
"88","provinces",18,13
"89","ago",55,47
"90","appeared",54,40
"91","incredible",3,3
"92","property",67,46
"93","carried",55,46
"94","tonnage",7,6
"95","navigated",1,1
"96","seamen",8,7
"97","freight",4,4
"98","primage",1,1
"99","guineas",6,5
"100","ton",8,6
"101","taking",49,42
"102","consideration",35,27
"103","britain",67,43
"104","gross",5,3
"105","amount",58,37
"106","cargoes",11,5
"107","landed",35,27
"108","exceed",10,10
"109","tenth",5,4
"110","united",202,72
"111","kingdom.our",1,1
"112","considerable",60,46
"113","states",229,88
"114","respectable",36,31
"115","intelligent",9,9
"116","american",110,72
"117","merchants",19,18
"118","begun",6,6
"119","settle",14,13
"120","scale",13,10
"121","turned",9,8
"122","british",162,75
"123","industry",26,20
"124","commencing",3,3
"125","run",14,11
"126","channel",7,7
"127","thought",37,22
"128","jamaica",19,11
"129","royal",61,33
"130","gazette",22,22
"131","kingston",29,13
"132","sept",39,15
"133","ship",121,68
"134","nestor",1,1
"135","belonging",44,37
"136","glasgow",23,16
"137","seized",11,10
"138","months",37,35
"139","officers",53,38
"140","majesty's",53,37
"141","customs",2,2
"142","port",90,50
"143","pro",8,7
"144","vided",1,1
"145","register",5,4
"146","act",78,39
"147","parliament",40,28
"148","condemned",3,3
"149","court",56,30
"150","vice",5,4
"151","admiralty",7,6
"152","held",28,19
"153","spanish",30,25
"154","town",142,71
"155","friday",22,19
"156","week",44,31
"157","sold",31,23
"158","morning",49,38
"159","dispatches",8,8
"160","received",136,94
"161","boston",9,9
"162","brought",67,46
"163","sally",2,2
"164","capt",32,20
"165","walker",4,3
"166","liverpool",21,18
"167","dated",65,54
"168","november",20,15
"169","account",68,55
"170","arrival",33,31
"171","ships",63,47
"172","newfoundland",14,10
"173","halifax",18,12
"174","provisions",69,35
"175","kinds",10,10
"176","plentiful",9,8
"177","reasonable",8,8
"178","latest",4,4
"179","accounts",51,43
"180","west",96,47
"181","indies",23,19
"182","supply",42,29
"183","islands",67,28
"184","possibly",13,13
"185","obtained",38,28
"186","consequence",57,46
"187","bounties",2,2
"188","christian",7,6
"189","majesty",16,15
"190","charity",5,4
"191","spare",8,8
"192","extended",16,14
"193","colonies",100,44
"194","surprised",11,11
"195","price",50,30
"196","bread",7,5
"197","home",53,39
"198","assistance",21,18
"199","french",35,23
"200","dutch.the",1,1
"201","crops",9,9
"202","island",84,48
"203","promise",12,9
"204","harvest",7,7
"205","eastward",5,4
"206","ahs",1,1
"207","generally",33,26
"208","considered",45,33
"209","productive",9,9
"210","part.by",1,1
"211","westmoreland",1,1
"212","arrived",145,84
"213","learn",47,36
"214","slaves",42,21
"215","mutinous",2,2
"216","alarming",11,10
"217","degree",34,25
"218","made",224,121
"219","acquainted",10,10
"220","intended",35,33
"221","abolition",6,6
"222","slave",15,9
"223","trade",76,46
"224","extract",46,44
"225","june",88,36
"226","dreadfully",1,1
"227","alarmed",8,8
"228","scarcity",9,9
"229","common",55,38
"230","market",48,28
"231","dollars",51,26
"232","cwt",5,4
"233","bran",1,1
"234","oats",5,4
"235","bushel",10,6
"236","pease",3,3
